repo	sha	label	fp_class	klass	added_loc	base_loc	note
AB-lab113/hidering	3a7bc33fc420954cc92a94aa114e21fe67bc3073	FP	idiom		src/crypto/pqc.cpp:18-100 (pqc_keygen / pqc_sign / pqc_verify / pqc_kem_encaps / pqc_kem_decaps)		New post-quantum wrapper file: 5 short functions each follow the identical liboqs RAII idiom -- `OQS_SIG_new`/`OQS_KEM_new`, a size-assert chain, the single OQS_* op, then `if (handle != nullptr) OQS_*_free(handle); return ok;`. The skeleton (handle alloc / nullptr-guard / free / return ok) is repeated verbatim across all five, so a within-file near-dup detector pairs e.g. pqc_keygen<->pqc_kem_encaps and pqc_sign<->pqc_verify. It is API-imposed boilerplate over a third-party C handle, not copy-pasted business logic.
AB-lab113/hidering	6d820de5b4f527296b7f5b69d121ee1214fbf651	FP	whole-file		src/cryptonote_basic_final_backup/* (whole directory) vs src/cryptonote_basic/*		WIP commit ('Etat avant debug wallet crash') checked in a manual safety copy of the entire src/cryptonote_basic/ directory under a new name src/cryptonote_basic_final_backup/. account.cpp/.h, cryptonote_basic.h, cryptonote_format_utils.cpp, hardfork.cpp etc. are BYTE-IDENTICAL to their cryptonote_basic/ originals (diff = 0 lines on account.cpp 284/284). A cross-file token/line detector would light up massively (dozens of near-100% pairs) but this is a developer backup snapshot of a directory, not a copy-pasted-and-edited code chunk.
Aiacos/ajazz-control-center	cebcd54e4e9d	FP	idiom		src/app/src/application.cpp:233-249	src/app/src/application.cpp:119-135	Checker hint flagged this Qt application.cpp self-similarity, but the commit is a Merge (docs/release-and-workflow); the flagged regions are repeated Qt boilerplate: a sequence of QObject::connect(...) wirings and a QML property-exposure block (qmlRegisterType / setContextProperty rows). Each row is structurally identical (connect(a, &A::sig, b, [this]{...})), so a token detector sees a high-weight near-clone, but it is the canonical Qt signal/slot idiom, not transplanted logic.
Aiacos/ajazz-control-center	11f34e71909d9aa5b4755a0168c83a346e3f9e5b	TP		cross-file-chunk	src/devices/streamdeck/src/akp03.cpp:470-479 ; akp05.cpp:472-481 ; akp153.cpp ; akp815.cpp		Identical IClockCapable::setTime() stub copy-pasted into all 4 Stream Dock backends in one commit: only the once_flag name (s_warned_akpNN) and the log tag (streamdeck.akpNN) differ, body otherwise verbatim (call_once + AJAZZ_LOG_WARN + return NotImplemented). The commit message itself enumerates the 4 near-identical copies. Cries out for a CRTP/base-class helper.
Aiacos/ajazz-control-center	106e972bef10fd6ae1779fa2ec7a3db27f24b170	TP		cross-file-chunk	src/devices/streamdeck/src/akp05.cpp:30-80	src/devices/streamdeck/src/akp03.cpp:43-100	AKP05 backend scaffolded by cloning the just-written AKP03 backend: buildCmdHeader is byte-identical (empty diff), buildSetBrightness/buildClearAll/buildClearKey/buildImageHeader and the Device class poll()/switch are copied with namespace akp03->akp05 and tweaked constants. Protocol .hpp (akp03_protocol.hpp->akp05_protocol.hpp) and the Catch2 test file are also clones with edited geometry/command words. Same commit, same author, one feed.
Aiacos/ajazz-control-center	f04466051095199cd5ad758e062c019b41f77694	TP		cross-file-chunk	src/plugins/src/manifest_signer_win32.cpp:117-150	src/plugins/src/manifest_signer.cpp:106-150	loadTrustRoots() mini-JSON walk is duplicated verbatim (minus comments) between the POSIX and Win32 verifier translation units; the same robustness fix (bound the key->name window by the closing '}') is hand-applied to both copies in this commit. The code comment literally says 'duplicates the POSIX backend logic. Mirroring is intentional'. Real cross-file duplication kept in sync by hand -- exactly the drift risk archcheck targets.
AlchemyViewer/Alchemy	84484171836... (Add AO engine back to viewer)	FP	whole-file		indra/newview/alpanelaomini.cpp vs indra/newview/alpanelaopulldown.cpp		Two sibling LLPanel subclasses added in the same commit share the full ~30-line MIT-style license header (Cinder Roxley 2014/2016 + Rye Mutt 2020) and the LLPanel boilerplate (ctor registering commit callbacks, postBuild getChild wiring, dtor disconnecting boost signals). Cross-file similarity is driven by the identical license block and the LLPanel lifecycle skeleton. These are restored heritage files (orig copyright 2014-2020), genuinely distinct widgets, not AI-duplicated.
AlchemyViewer/Alchemy	c23583390b5a741e509fc8f8827a8eee8bc62a2f	FP	idiom		indra/newview/llfloatersearchreplace.cpp:175-211 (onSearchClick/onReplaceClick/onReplaceAllClick)		Three one-statement dispatcher methods each open with the identical 'LLTextEditor* pEditor = getEditor(); if (pEditor) { ... }' guard and differ only in the single forwarded call (selectNext / replaceText / replaceTextAll). The repeated null-guard wrapper inflates similarity. This is restored third-party Catznip (Kitty Barnett, LGPL) code, and the repetition is an unavoidable getter+guard idiom, not copied logic.
AlchemyViewer/Alchemy	e10df6c0bd841ae9ff29b3e1e5def13fc3f3df3b	FP	idiom		indra/newview/llvowlsky.cpp:624-693 vs 757-851		LLVOWLSky::updateStarGeometry and updateMeteorGeometry share a near-identical preamble (allocate LLVertexBuffer, the getVertexStrider/getNormalStrider/getColorStrider/getTexCoord0Strider acquire-and-check block) plus a static six-vertex quad table (kCornerOffsets vs kUV) and a nested 'for v in 0..6 { *(positions++)=...; *(colors++)=...; *(texcoords++)=... }' fill loop. The structural skeleton of VBO fill is the same so line/token similarity is high, but the actual geometry math (star center splat vs meteor stretched-quad envelope/head/tail) is entirely different. This is the mandatory LL VBO-strider idiom, not lazy copy-paste — the rewrite genuinely needs both buffers filled this way.
Alteriom/painlessMesh	fe6a19bc92a2650bcb6af20e9607f4646473aca0	FP	idiom		src/arduino/wifi.hpp:421-560		Message Queue public API is ~8 consecutive thin forwarding wrappers, each opening with the identical guard `if (!messageQueueEnabled) { return 0; }` then delegating to messageQueue.<call>(...). A token/line clone detector clusters these on the repeated guard + delegation skeleton, but it is the legitimate facade/forwarding idiom (one-to-one method exposure of an embedded member), not duplicated logic.
Alteriom/painlessMesh	b014dc5b63b143c8f92c5392b3f702f5b0a4c0a1	FP	idiom		src/painlessmesh/mesh.hpp:412-490		Internet-health-check API on Mesh is a row of 2-3 line facade methods (setInternetCheckTarget/Interval/Timeout/configure...) each just calling internetHealthChecker.set*(...). Same facade pattern as the message-queue API; siblings look like near-clones because the wrapper shell is fixed and only the delegated setter name varies.
